date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:49	557082/557082	---M--	200	added ('OK')	image/jpeg	etag:%2258bd477a-8801a%22	http://twofold.fuelthemes.net/wp-content/uploads/2016/03/t-5.jpg	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/uploads/2016/03/t-5.jpg	(from http://twofold.fuelthemes.net/home-slider/)
14:54:49	2650/2650	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225a57536f-a5a%22	http://twofold.fuelthemes.net/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.2.6	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.minc169.js	(from http://twofold.fuelthemes.net/home-slider/)
14:54:50	9566/9566	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225a57536f-255e%22	http://twofold.fuelthemes.net/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from http://twofold.fuelthemes.net/home-slider/)
14:54:51	1846/1846	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225a57536f-736%22	http://twofold.fuelthemes.net/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min6b25.js	(from http://twofold.fuelthemes.net/home-slider/)
14:54:52	562/562	---M--	200	added ('OK')	application/x-javascript	etag:%225a57536f-232%22	http://twofold.fuelthemes.net/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=3.2.6	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.minc169.js	(from http://twofold.fuelthemes.net/home-slider/)
14:54:52	2569/2569	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225a57536f-a09%22	http://twofold.fuelthemes.net/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=3.2.6	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.minc169.js	(from http://twofold.fuelthemes.net/home-slider/)
14:54:59	497640/497640	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b4c94bc-797e8%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/js/vendor.min.js?ver=3.1.0	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/js/vendor.min324d.js	(from http://twofold.fuelthemes.net/home-slider/)
14:55:01	16410/16410	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2256c49032-401a%22	http://twofold.fuelthemes.net/wp-includes/js/underscore.min.js?ver=1.8.3	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-includes/js/underscore.min4511.js	(from http://twofold.fuelthemes.net/home-slider/)
14:55:02	21309/21309	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b4c94bc-533d%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/js/app.min.js?ver=3.1.0	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/js/app.min324d.js	(from http://twofold.fuelthemes.net/home-slider/)
14:55:04	1398/1398	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258359bd9-576%22	http://twofold.fuelthemes.net/wp-includes/js/wp-embed.min.js?ver=4.9.8	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-includes/js/wp-embed.min5010.js	(from http://twofold.fuelthemes.net/home-slider/)
14:55:53	462612/462612	---M--	200	added ('OK')	image/jpeg	etag:%2258bd4b97-70f14%22	http://twofold.fuelthemes.net/wp-content/uploads/2016/03/t-6.jpg	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/uploads/2016/03/t-6.jpg	(from http://twofold.fuelthemes.net/home-slider/)
14:55:55	5605/5605	---M--	200	added ('OK')	image/png	etag:%22595f5c50-15e5%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/img/preloader.png	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/img/preloader.png	(from http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/css/app.css?ver=3.1.0)
14:55:55	1486/1486	---M--	200	added ('OK')	image/png	etag:%22595f5c50-5ce%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/img/vimeo-play.png	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/img/vimeo-play.png	(from http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/css/app.css?ver=3.1.0)
14:55:56	702/702	---M--	200	added ('OK')	image/png	etag:%22595f5c50-2be%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/img/video-play.png	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/img/video-play.png	(from http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/css/app.css?ver=3.1.0)
14:55:56	324115/324115	---M--	200	added ('OK')	image/jpeg	etag:%22595f5c50-4f213%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/img/password-bg.jpg	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/img/password-bg.jpg	(from http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/css/app.css?ver=3.1.0)
14:55:57	2693/2693	---M--	200	added ('OK')	image/png	etag:%22595f5c50-a85%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/img/youtube-play.png	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/img/youtube-play.png	(from http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/css/app.css?ver=3.1.0)
14:56:05	50800/50800	---M--	200	added ('OK')	image/jpeg	etag:%22595f5c50-c670%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/img/404-bg.jpg	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/img/404-bg.jpg	(from http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/css/app.css?ver=3.1.0)
14:56:06	59825/59825	---M--	200	added ('OK')	image/gif	etag:%22595f5c50-e9b1%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/img/loading.gif	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/img/loading.gif	(from http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/css/app.css?ver=3.1.0)
14:56:08	1051122/1051122	---M--	200	added ('OK')	image/jpeg	etag:%2258bd4713-1009f2%22	http://twofold.fuelthemes.net/wp-content/uploads/2016/03/t-4.jpg	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/uploads/2016/03/t-4.jpg	(from http://twofold.fuelthemes.net/home-slider/)
14:56:17	761042/761042	---M--	200	added ('OK')	image/jpeg	etag:%2256f33299-b9cd2%22	http://twofold.fuelthemes.net/wp-content/uploads/2016/03/j1h23-1.jpg	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/uploads/2016/03/j1h23-1.jpg	(from http://twofold.fuelthemes.net/home-slider/)
14:56:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Oct%202018%2011:56:19%20GMT	http://twofold.fuelthemes.net/home-slider/Version/	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/home-slider/Version/index.html	(from http://twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/js/vendor.min.js?ver=3.1.0)
14:56:19	20530/20530	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Oct%202018%2011:56:20%20GMT	http://twofold.fuelthemes.net/TweenLite.min.js	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/TweenLite.min.1c.delayed	(from http://twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/js/vendor.min.js?ver=3.1.0)
